"","X","ID_individual","ID","ID_rand","Sex","x","y","Category","Year","human_1","humanlands_1","agri_1","forest_1","mires_1","water_1","mountains_1","roadens_sec1","mainroad_1","bear_1","dem_1","slope_1","roughness_1","roadbuild_1","moose_dens","Clusters","wolf_density","dist"
"1816",1816,"G42-10",45,9,"F",267439.730932276,6848124.99977158,"Available",2008,2.04413437846475,0.000129080655392242,0.00594691954491753,0.556598794634363,0.0808262434311388,0.0075880144171817,0.349414401694043,0.267815682902932,0.106800468194566,0.0527216305396851,867.256625822068,6.99139420559421,65.9934574495551,10.9750900279803,0.249619994221766,1,0,17229.0761214872
"1817",1817,"G42-10",45,10,"F",372062.827957654,6792521.55381794,"Available",2008,2.30623717459729,0.00566019992173722,0.0140504401368171,0.801911709741411,0.130886479003693,0.0149524888658254,0.0325203928314359,0.45848535694286,0.223761830542399,0.274289971484528,525.738183851217,3.72489292757388,35.0305388399275,13.1423251204411,0.356260091164662,4,1,17229.0761214872
"1818",1818,"G42-10",45,11,"F",363299.359647813,6675190.86755077,"Available",2008,10.1742085668772,0.00241429774687107,0.0126538754330507,0.877095469227203,0.0455596492919013,0.0619961684709111,0,0.999818954236044,0.283452913911257,0.0331243820025087,302.063606922122,3.81427951233061,36.5169823769983,14.253397727993,0.447749900906829,6,1,17229.0761214872
"1819",1819,"G42-10",236,NA,"F",358058,6716450,"Established",2008,5.98279219336835,0.000942140133306464,0.0210455445704075,0.863775475150911,0.0702987228722993,0.0434544822399355,0.000267436646274149,0.868595243873959,0.264155492851727,0.0733579097917878,371.626071422718,3.78410707764912,35.1807827943653,7.56746661034223,0.412705509799383,6,3,17229.0761214872
"1820",1820,"G42-10",236,NA,"F",366248,6731608,"Natal",2008,4.4073065674337,0.00281186297949115,0.0114714273512633,0.83979249936213,0.100888339776122,0.0449344355552789,0,0.800009959353182,0.233754244448547,0.109390959767313,395.443362430728,3.81811736990577,35.9447383887533,10.8734822746969,0.44226794025167,6,4,17229.0761214872
"1821",1821,"G42-11",202,1,"F",518570.306575676,6748649.59400682,"Available",2010,9.94415612200727,0.0231170445229878,0.040476925757206,0.817938647595807,0.0358106866574045,0.082813828465486,0,0.896930580317974,0.318097668898916,0.581860676216521,283.539344643604,2.90247173686188,27.9993589338774,116.01016554379,0.136759208147587,5,3,157497.791732337
"1822",1822,"G42-11",202,2,"F",560855.887176842,6669743.03507316,"Available",2010,20.2926487538236,0.0376191823901445,0.169910117108558,0.687287121554292,0.0257222677818719,0.0794985171916084,0,1.1695820985733,0.422785503654861,0.0890428870926606,130.179023974009,1.58838363533866,16.2181936729123,128.988932473909,0.249247081951332,2,2,157497.791732337
"1823",1823,"G42-11",202,3,"F",511205.18650415,6780367.38265986,"Available",2010,4.70218102027853,0.00878223160446864,0.0222618035711482,0.79565024019721,0.11022786291564,0.0629146880283858,0,0.955072614676011,0.174915599400663,0.820954304172906,302.108891486192,2.11344246959191,20.0763441353279,31.3452133323446,0.123022118043402,5,2,157497.791732337
"1824",1824,"G42-11",202,4,"F",522248.084763897,6739638.24643615,"Available",2010,14.9189267513908,0.0143123741620191,0.0301599334208268,0.862493890852043,0.0320017045126557,0.060195441730861,0,0.964567639022709,0.352425854531216,0.505980756953137,277.894028144768,3.21851910058457,31.1435376010214,74.6508477127548,0.120880248785558,5,2,157497.791732337
"1825",1825,"G42-11",202,5,"F",583253.213599706,6690199.86428364,"Available",2010,27.1067325941033,0.00904209866497917,0.101811410133833,0.798341068956416,0.0315980211059848,0.0587136955616807,0,1.16261226458397,0.322705473779308,0.127871683327436,118.446811224285,1.32370298779184,13.3175456480673,45.8063684798465,0.33069802413093,2,0,157497.791732337
