MALES	ID	Birth_territory	Y_birth	X_birth	Established_territory	Y_Established	X_Established	Year establishment	First Winter	Secondary dispersal	
M	G6-03	Grav	6646437	483645	Julu1	6776320	314914	2002	2002/03	Yes	
M	D-07-15	Julu1	6781369	315419	Julu5	6783882	316099	2007	2007/08	No	
M	G23-07	Lov1	6685766	471162	Julu5	6783882	316099	2007	2008/09	No	
M	G72-10	Ny5	6731608	366248	Julu6	6788667	319462	2009	2009/10	Yes	
M	M-06-06	Fil	6631585	443491	Juv	6735554	354921	2003	2003/04	No	
M	G29-10	Has3	6545102	466348	Juv2	6750322	362255	2010	2010/11	No	
M	M-05-04	Grav	6646437	483645	Kil1	6585675	486261	2002	2002/03	No	
M	M-09-18	Krp2	6479551	332283	Klot	6642508	520459	2007	2007/08	No	
M	G84-11	Klot	6640328	519680	Kol	6607905	556924	2011	2011/12	No	
M	M-04-02	arj	6644385	318127	Kop2	6852613	288697	2001	2001/02	Yes	
M	M-09-11	Ock2	6769118	575138	Kop4	6841792	289525	2009	2009/10	No	
M	G13-07	Fur	6789434	511936	Kors1	6715466	560363	2006	2006/07	No	
M	G24-10	Gra1	6675343	364184	Kors2	6729560	565843	2009	2009/10	No	
M	G14-05	Gla1	6581608	356822	Krp1	6501018	331587	2002	2002/03	No	
